  -2.7141433E-02   2.0757852E-02
  -2.7141223E-02   2.1165583E-02
  -2.7141007E-02   2.1573305E-02
  -2.7140787E-02   2.1981018E-02
  -2.7140561E-02   2.2388721E-02
  -2.7140334E-02   2.2796411E-02
  -2.7140101E-02   2.3204094E-02
  -2.7139867E-02   2.3611763E-02
  -2.7139625E-02   2.4019424E-02
  -2.7139381E-02   2.4427073E-02
  -2.7139133E-02   2.4834711E-02
  -2.6730195E-02  -2.6962666E-02
  -2.6730461E-02  -2.6555086E-02
  -2.6730722E-02  -2.6147492E-02
  -2.6730981E-02  -2.5739886E-02
  -2.6731234E-02  -2.5332270E-02
  -2.6731484E-02  -2.4924641E-02
  -2.6731730E-02  -2.4517002E-02
  -2.6731972E-02  -2.4109351E-02
  -2.6732208E-02  -2.3701688E-02
  -2.6732443E-02  -2.3294015E-02
  -2.6732672E-02  -2.2886332E-02
  -2.6732897E-02  -2.2478638E-02
  -2.6733119E-02  -2.2070935E-02
  -2.6733337E-02  -2.1663221E-02
  -2.6733549E-02  -2.1255497E-02
  -2.6733760E-02  -2.0847764E-02
  -2.6733965E-02  -2.0440022E-02
  -2.6734166E-02  -2.0032268E-02
  -2.6734363E-02  -1.9624507E-02
  -2.6734557E-02  -1.9216737E-02
  -2.6734745E-02  -1.8808957E-02
  -2.6734930E-02  -1.8401170E-02
  -2.6735112E-02  -1.7993374E-02
  -2.6735289E-02  -1.7585570E-02
  -2.6735460E-02  -1.7177759E-02
  -2.6735630E-02  -1.6769938E-02
  -2.6735794E-02  -1.6362110E-02
  -2.6735956E-02  -1.5954275E-02
  -2.6736112E-02  -1.5546433E-02
  -2.6736265E-02  -1.5138584E-02
  -2.6736412E-02  -1.4730727E-02
  -2.6736557E-02  -1.4322865E-02
  -2.6736697E-02  -1.3914995E-02
  -2.6736835E-02  -1.3507119E-02
  -2.6736967E-02  -1.3099237E-02
  -2.6737096E-02  -1.2691349E-02
  -2.6737219E-02  -1.2283456E-02
  -2.6737340E-02  -1.1875556E-02
  -2.6737455E-02  -1.1467651E-02
  -2.6737567E-02  -1.1059741E-02
  -2.6737675E-02  -1.0651827E-02
  -2.6737779E-02  -1.0243907E-02
  -2.6737880E-02  -9.8359818E-03
  -2.6737975E-02  -9.4280532E-03
  -2.6738066E-02  -9.0201199E-03
  -2.6738154E-02  -8.6121829E-03
  -2.6738238E-02  -8.2042413E-03
  -2.6738318E-02  -7.7962964E-03
  -2.6738394E-02  -7.3883478E-03
  -2.6738465E-02  -6.9803959E-03
  -2.6738532E-02  -6.5724407E-03
  -2.6738595E-02  -6.1644823E-03
  -2.6738655E-02  -5.7565216E-03
  -2.6738711E-02  -5.3485581E-03
  -2.6738761E-02  -4.9405922E-03
  -2.6738808E-02  -4.5326240E-03
  -2.6738850E-02  -4.1246535E-03
  -2.6738890E-02  -3.7166814E-03
  -2.6738925E-02  -3.3087076E-03
  -2.6738957E-02  -2.9007322E-03
